pl_f217xpl_f217,pl_f217xpl_f353,pl_f217xpl_f545,pl_f217xpl_f857,pl_f353xpl_f353,pl_f353xpl_f545,pl_f353xpl_f857,pl_f545xpl_f545,pl_f545xpl_f857,pl_f857xpl_f857
82.63891288501023,307.7273637788089,677.9620942867284,972.3729864521149,1182.4883723093171,2700.6505212400148,3967.755928044903,6517.242358679379,10126.98117004982,17022.584231960303
82.54068530543151,307.3530223402623,677.1622528014601,971.3412719445887,1181.0165432382942,2697.3665354502705,3963.335615225631,6509.401768828609,10115.59554694677,17004.32657126416
82.44298815474048,306.98100616633326,676.3681090302715,970.317343832565,1179.5549094443857,2694.107561654673,3958.9496058455634,6501.62320221041,10104.297708801743,16986.204246106445
82.34539155540605,306.60943001354144,675.5752437110765,969.2960208924385,1178.0952056595463,2690.8542100083196,3954.57508148355,6493.86106215321,10093.033525459874,16968.151096102054
82.24779820535912,306.23786691974993,674.782411984502,968.2747540829178,1176.6355555023335,2687.601000310402,3950.2008021958463,6486.099312248869,10081.770044623267,16950.099272627627
82.15020656540287,305.86631180380664,673.9896057928705,967.2535468267172,1175.175942825766,2684.347911732075,3945.8268076470767,6478.337959653658,10070.507511287666,16932.049745646586
82.05301154285392,305.4961258203277,673.1990503381483,966.23434382808,1173.7210730732168,2681.102721607817,3941.460158589214,6470.590377965687,10059.2596611449,16914.021330871125
81.95602211572536,305.1266626589446,672.4097581367461,965.2164616636662,1172.2687631393214,2677.8621213181395,3937.0986262295864,6462.851726523366,10048.023628002029,16896.013226773346
81.85987147526322,304.76046693937974,671.6268758626666,964.2049117154945,1170.829186015207,2674.64652050527,3932.7618967826384,6455.162381239765,10036.837448633334,16878.0589654544
81.76443727519991,304.3970221997405,670.8492351935765,963.1982571296394,1169.400166571048,2671.4509630113844,3928.4437766066594,6447.510760493869,10025.685860011017,16860.135883225434
81.66900357381732,304.0335795808887,670.0716001840038,962.191612748371,1167.9711562852683,2668.2554305027807,3924.1257024231218,6439.8592106031465,10014.534407857156,16842.21308198518
81.57352546719233,303.6699584803872,669.2935018642114,961.1842122107273,1166.5414041121094,2665.057894176589,3919.8042185342683,6432.202009145671,10003.372929460558,16824.271829775105
81.47791177444452,303.3058926209302,668.5146524135469,960.176024446798,1165.1101596573571,2661.8576856235313,3915.479647059202,6424.539340217041,9992.203937494109,16806.318377737804
81.38233196077508,302.9420569042325,667.7366296085008,959.169587405084,1163.6800878650547,2658.661167357835,3911.162517298566,6416.887271204303,9981.055453449464,16788.403819506988
81.28697692587487,302.5790502155086,666.9607593257815,958.1676051159957,1162.2530151279207,2655.472551128936,3906.86276869225,6409.256529849508,9969.954788643268,16770.59024823403
81.19114004312584,302.2144574230416,666.1819591456572,957.1626058288314,1160.8202723342329,2652.272334582142,3902.5500495222523,6401.599422335537,9958.822507249522,16752.737353569697
81.0950841889661,301.84927980724717,665.4024477419805,956.1572153847906,1159.3859646813698,2649.0702164066797,3898.236293497521,6393.940023524694,9947.689030643165,16734.883984926055
80.99902275336974,301.48414095645313,664.6232166948347,955.1524535790588,1157.9520224513963,2645.869660990138,3893.9257201669407,6386.285954566287,9936.565729457465,16717.049717541362
80.90319306538811,301.1199505736177,663.8460672548217,954.1502167752706,1156.5219793947867,2642.677746033057,3889.625854076522,6378.651569717727,9925.468366481058,16699.254078869373
80.80900420147574,300.76201464574274,663.0807296096153,953.1591565466849,1155.1157643766471,2639.530711870534,3885.368315208174,6371.10115380286,9914.450035670596,16681.53541208541
80.71541825915708,300.4062395375848,662.3190825684449,952.1711621049737,1153.7172939179002,2636.3969071906295,3881.121771589841,6363.573349100316,9903.45053185304,16663.832524147394
80.62193024246668,300.0509152166759,661.5587490169216,951.1853903840667,1152.3209785948548,2633.2695687974892,3876.886416905316,6356.065369273496,9892.485884169442,16646.191655734765
80.52858217904702,299.6962711905348,660.8003670387877,950.2025877429592,1150.9279989916288,2630.1518592279726,3872.6657890983242,6348.585331716204,9881.564236712118,16628.61759854819
80.43556330906438,299.34326687139514,660.0468937689409,949.2277505448355,1149.5432750775485,2627.059034332183,3868.485739674862,6341.180640033743,9870.765878917833,16611.24592443288
80.34271520185987,298.9911159467565,659.2959660123256,948.2569935891004,1148.162849448855,2623.9790935425463,3864.3264147136524,6333.81469355105,9860.03000513924,16593.975282919397
80.24999693860457,298.6395165243986,658.5465647287658,947.289193819573,1146.784767296273,2620.9056435719253,3860.179676220774,6326.466745149626,9849.329087783042,16576.772696424166
80.1573506376437,298.28822275682523,657.798009358809,946.3230324834942,1145.407984013071,2617.8357909716233,3856.0399124081287,6319.128772441025,9838.647545112857,16559.607836547955
80.06547619944888,297.93964969728995,657.054690638309,945.3634448604269,1144.0409524435045,2614.7855155453126,3851.926334712969,6311.834112622062,9828.031473370436,16542.5553410491
79.97418445217824,297.593518307232,656.3169961624658,944.4110484019677,1142.6841587831118,2611.7589194306133,3847.8433536456932,6304.595166215375,9817.490488066293,16525.61436319369
79.88302700969226,297.2479794083248,655.5806446111055,943.4601686453937,1141.3299145325254,2608.738031551693,3843.7667859547155,6297.368926081321,9806.963755443248,16508.68941558212
79.79188390809026,296.9025057845203,654.8444939772118,942.5097275279802,1139.9759675781302,2605.718059495889,3839.6922188945873,6290.1455108872815,9796.443201902819,16491.77800609376
79.70088859020646,296.55767127200915,654.109809555291,941.5612754356184,1138.6247041305148,2602.704178622614,3835.626086402196,6282.936367501048,9785.944343116267,16474.90527266613
